Product,title,url,rating,review_count,price
Headphone,"Earphones 3 Pack in-Ear Headphones with Microphone, Headset Stereo Sound Noise Isolating Tangle Free,3.5mm Wired Earbuds for iOS and Android Smartphones, Laptops, MP3, Gaming, Walkman(Black+White+Red)",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_electronics-intl-ship_sr_pg2_1?ie=UTF8&adId=A03041001P5HLXGBTZPP4&url=%2FEarphones-Headphones-Microphone-Earbuds-Smartphones%2Fdp%2FB08B5F336L%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26keywords%3Dheadphones%26qid%3D1631039477%26s%3Delectronics%26sr%3D1-17-spons%26psc%3D1%26smid%3DA15NOMF0M0YDL5&qualifier=1631039477&id=7800041836910180&widgetName=sp_atf_next,4.4,6959,14.99
Headphone,"[2 Pack] Earbuds/Earphones, Wired Headphones, 3.5mm in-Ear Wired Earbuds with Built-in Microphone & Volume Control Compatible with iPhone 6s plus/6/5s/5c/iPad/S10 Android Mostl 3.5mm Audio Devices",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_electronics-intl-ship_sr_pg2_1?ie=UTF8&adId=A00192793L2DDDYVHZUF8&url=%2FEarbuds-Earphones-Headphones-Microphone-Compatible%2Fdp%2FB091D16JCC%2Fref%3Dsr_1_18_sspa%3Fdchild%3D1%26keywords%3Dheadphones%26qid%3D1631039477%26s%3Delectronics%26sr%3D1-18-spons%26psc%3D1%26smid%3DA1MWJ0AKJ7L7IJ&qualifier=1631039477&id=7800041836910180&widgetName=sp_atf_next,4.2,1351,14.99
Headphone,"Bluetooth Headphones Over Ear, pollini Wireless Headset V5.0 with Deep Bass, Soft Memory-Protein Earmuffs and Built-in Mic for iPhone/Android Cell Phone/PC/TV (Black)",https://www.amazon.com/Bluetooth-Headphones-Wireless-Memory-Protein-Earmuffs/dp/B08MJV4X7R/ref=sr_1_19?dchild=1&keywords=headphones&qid=1631039477&s=electronics&sr=1-19,4.4,2341,27.89
Headphone,"POWMEE P10 Kids Headphones with Microphone Stereo Headphones for Children Boys Girls,Adjustable 85dB/94dB Volume Control Foldable On-Ear Headphone with Microphone for School/PC/Cellphone(Blue)",https://www.amazon.com/POWMEE-P10-Headphones-Microphone-Adjustable/dp/B08BF971WF/ref=sr_1_20?dchild=1&keywords=headphones&qid=1631039477&s=electronics&sr=1-20,4.6,4116,18.99
Headphone,Elecder i37 Kids Headphones Children Girls Boys Teens Foldable Adjustable On Ear Headphones 3.5mm Jack Compatible Cellphones Computer MP3/4 Kindle School Tablet Green/Purple,https://www.amazon.com/i37-Headphones-Adjustable-Compatible-Cellphones/dp/B078XZX9MD/ref=sr_1_22?dchild=1&keywords=headphones&qid=1631039477&s=electronics&sr=1-22,4.6,18881,16.99
Headphone,Sony MDR7506 Professional Large Diaphragm Headphone,https://www.amazon.com/Sony-MDR7506-Professional-Diaphragm-Headphone/dp/B000AJIF4E/ref=sr_1_23?dchild=1&keywords=headphones&qid=1631039477&s=electronics&sr=1-23,4.8,16066,99.94
Headphone,"OneOdio Over Ear Headphone, Wired Bass Headsets with 50mm Driver, Foldable Lightweight Headphones with Shareport and Mic for Recording Monitoring Podcast Guitar PC TV - (Red)",https://www.amazon.com/OneOdio-Headphone-Lightweight-Headphones-Monitoring/dp/B07G748HKJ/ref=sr_1_24?dchild=1&keywords=headphones&qid=1631039477&s=electronics&sr=1-24,4.5,12389,31.99
Headphone,"Earbuds Headphones with Microphone 5 Pack, Earbuds Wired Stereo Earphones in-Ear Headphones Bass Earbuds, Compatible with iPhone and Android Smartphones, iPod, iPad, MP3, Fits All 3.5mm Interface",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_electronics-intl-ship_sr_pg2_1?ie=UTF8&adId=A09142903QWQ8XENS0IZA&url=%2FHeadphones-Microphone-Earphones-Compatible-Smartphones%2Fdp%2FB099N39MM4%2Fref%3Dsr_1_27_sspa%3Fdchild%3D1%26keywords%3Dheadphones%26qid%3D1631039477%26s%3Delectronics%26sr%3D1-27-spons%26psc%3D1%26smid%3DA1SR5KRUU38CWA&qualifier=1631039477&id=7800041836910180&widgetName=sp_mtf,4.5,592,13.99
Headphone,"Earbuds Wired with Microphone Pack of 5, Noise Isolating in-Ear Headphones, Powerful Heavy Bass, High Definition, Earphones Compatible with iPhone, iPod, iPad, MP3, Samsung, and Most 3.5mm Jack",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_electronics-intl-ship_sr_pg2_1?ie=UTF8&adId=A1014954ZX3VHKD9ZEG0&url=%2FMicrophone-Isolating-Headphones-Definition-Compatible%2Fdp%2FB08B5FZP1N%2Fref%3Dsr_1_28_sspa%3Fdchild%3D1%26keywords%3Dheadphones%26qid%3D1631039477%26s%3Delectronics%26sr%3D1-28-spons%26psc%3D1%26smid%3DAS00CX6EUE0LA&qualifier=1631039477&id=7800041836910180&widgetName=sp_mtf,4.6,5176,14.99
Headphone,Bluetooth Headphones 4-Mics Call Noise Reduction 64Hrs IPX7 Waterproof Power Bank Occiam Wireless Earbuds Over Ear Earphones with 2200mAh Charging Case for Sports Running Workout Gaming,https://www.amazon.com/Bluetooth-Headphones-Reduction-Waterproof-Earphones/dp/B092H1NQ19/ref=sr_1_30?dchild=1&keywords=headphones&qid=1631039477&s=electronics&sr=1-30,4.3,5035,46.99
